"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2024-06-10 16:46:14","1761446629","ORDIUSDT","Market","SELL","0E-10","0.1500000000ORDI","2024-06-10 16:46:14","0.1500000000ORDI","58.36000000","8.7540000000USDT","FILLED"
"2024-06-10 16:41:17","2409432070","UNIUSDT","Market","SELL","0E-10","0.8800000000UNI","2024-06-10 16:41:17","0.8800000000UNI","10.44600000","9.1924800000USDT","FILLED"
"2024-06-10 16:09:04","524145069","HIGHUSDT","Limit","SELL","3.7420000000","5.2740000000HIGH","2024-06-10 16:09:04","5.2740000000HIGH","3.75000000","19.7775000000USDT","FILLED"
"2024-06-10 12:23:42","587670334","OMUSDT","Limit","SELL","1.0391000000","9.0000000000OM","2024-06-10 12:23:42","9.0000000000OM","1.04078889","9.3671000000USDT","FILLED"
"2024-06-10 01:36:52","1236344808","RNDRUSDT","Market","BUY","0E-10","1.0200000000RNDR","2024-06-10 01:36:52","1.0200000000RNDR","9.18100000","9.3646200000USDT","FILLED"
"2024-06-10 01:36:21","325912054","PYTHUSDT","Market","SELL","0E-10","22.2000000000PYTH","2024-06-10 01:36:21","22.2000000000PYTH","0.42580000","9.4527600000USDT","FILLED"
"2024-06-10 01:06:11","792654309","LPTUSDT","Market","BUY","0E-10","0.3800000000LPT","2024-06-10 01:06:11","0.3800000000LPT","22.71900000","8.6332200000USDT","FILLED"
"2024-06-10 01:05:45","792650416","LPTUSDT","Market","SELL","0E-10","0.3800000000LPT","2024-06-10 01:05:45","0.3800000000LPT","22.73000000","8.6374000000USDT","FILLED"
"2024-06-10 01:04:17","98296814","TAOUSDT","Market","BUY","0E-10","0.0262000000TAO","2024-06-10 01:04:17","0.0262000000TAO","360.80000000","9.4529600000USDT","FILLED"
"2024-06-10 01:03:36","1367450889","JASMYUSDT","Market","SELL","0E-10","242.4000000000JASMY","2024-06-10 01:03:36","242.4000000000JASMY","0.03910300","9.4785672000USDT","FILLED"
"2024-06-10 00:40:18","1387918282","OPUSDT","Market","BUY","0E-10","4.3200000000OP","2024-06-10 00:40:18","4.3200000000OP","2.22200000","9.5990400000USDT","FILLED"
"2024-06-10 00:39:01","584907000","OMUSDT","Market","SELL","0E-10","9.0000000000OM","2024-06-10 00:39:01","9.0000000000OM","1.06890000","9.6201000000USDT","FILLED"
"2024-06-10 00:21:38","18058101307","ETHUSDT","Market","BUY","0E-10","0.0017000000ETH","2024-06-10 00:21:38","0.0017000000ETH","3697.79000000","6.2862430000USDT","FILLED"
"2024-06-10 00:21:03","518981877","HIGHUSDT","Market","SELL","0E-10","1.4520000000HIGH","2024-06-10 00:21:03","1.4520000000HIGH","4.50000000","6.5340000000USDT","FILLED"
"2024-06-09 21:08:57","229896256","GLMUSDT","Market","SELL","0E-10","21.1000000000GLM","2024-06-09 21:08:57","21.1000000000GLM","0.44720000","9.4359200000USDT","FILLED"
"2024-06-09 20:59:51","942934836","BONKUSDT","Market","SELL","0E-10","108108.0000000000BONK","2024-06-09 20:59:51","108108.0000000000BONK","0.00002847","3.0778347600USDT","FILLED"
"2024-06-09 16:13:22","1049008786","PEPEUSDT","Market","SELL","0E-10","547300.0000000000PEPE","2024-06-09 16:13:22","547300.0000000000PEPE","0.00001261","6.9014530000USDT","FILLED"
"2024-06-09 14:10:50","556691241","JUPUSDT","Market","BUY","0E-10","7.8000000000JUP","2024-06-09 14:10:50","7.8000000000JUP","1.00780000","7.8608400000USDT","FILLED"
"2024-06-09 13:39:56","18055857471","ETHUSDT","Market","BUY","0E-10","0.0024000000ETH","2024-06-09 13:39:56","0.0024000000ETH","3685.72000000","8.8457280000USDT","FILLED"
"2024-06-09 13:31:41","1048333991","PEPEUSDT","Market","SELL","0E-10","747819.0000000000PEPE","2024-06-09 13:31:41","747819.0000000000PEPE","0.00001230","9.1981737000USDT","FILLED"
"2024-06-09 13:04:13","515785844","HIGHUSDT","Limit","SELL","4.3000000000","1.8450000000HIGH","2024-06-09 13:50:27","1.8450000000HIGH","4.30000000","7.9335000000USDT","FILLED"
